#,Música,Artista,Popularidade,BPM,Gêneros,Álbum,Data do Álbum,Duração,Duração_segundos,Dançabilidade,Energia,Acústica,Instrumentalidade,Valência,Fala,Ao Vivo,Volume (Db),Tom,Compasso,Adicionado em,Spotify Track Id,Camelot,ISRC,Explícito
191,Não Sou De Falar De Amor,"Juliette,João Gomes",48,166,"pop nacional, nova mpb, forró tradicional, forró, piseiro, arrocha, sertanejo, brega",Ciclone,2023-08-25,02:26,146,69,84,26,0,63,0,10,-5,C Major,4,2026-07-21,6cZDl8ZJKjAg1MV8Vo0E5m,8B,BC3RD2300009,no
192,Desejo Imortal (It Must Have Been Love) - Ao Vivo,Gusttavo Lima,66,140,"sertanejo, sertanejo universitário, arrocha, agronejo, piseiro, forró",Desejo Imortal (It Must Have Been Love) [Ao Vivo],2023-04-13,03:04,184,71,81,26,0,85,0,50,-4,B Major,4,2026-07-21,1L7hWEc3tVjvmbw48ShktM,1B,BXBAL2300029,no
193,Canudinho - Ao Vivo,"Gusttavo Lima,Ana Castela",61,167,"sertanejo, sertanejo universitário, arrocha, agronejo, piseiro, forró",Canudinho (Ao Vivo),2023-08-30,02:04,124,71,87,24,0,91,0,30,-3,E Major,4,2026-07-21,6AENBD8I0mDGglFqrRZGu7,12B,BXBAL2300131,no
194,Nosso Quadro,"AgroPlay,Ana Castela",65,160,"agronejo, sertanejo, sertanejo universitário, piseiro",AgroPlay Verão Vol.1,2023-02-02,02:53,173,69,71,33,0,61,20,30,-5,A Major,4,2026-07-21,1bzRhnrWU1l1u4Bby9ZbfQ,11B,BCA6L2300010,no
195,Seu Brilho Sumiu - Ao Vivo,"Israel & Rodolffo,Mari Fernandez",64,154,"sertanejo, sertanejo universitário, agronejo, piseiro, arrocha, forró","Let's Bora, Vol. 2 (Ao Vivo)",2023-03-02,02:48,168,63,92,31,0,75,0,90,-4,F#/G♭ Major,4,2026-07-21,3PH1nUysW7ybo3Yu8sqlPN,2B,BRRGE2300211,no
196,Erro Gostoso - Ao Vivo,Simone Mendes,65,154,"sertanejo, sertanejo universitário, pagode, piseiro, forró",Cintilante (Ao Vivo),2023-01-27,02:58,178,59,89,18,0,63,0,80,-3,F#/G♭ Major,4,2026-07-21,51pxwIxDVCbFHW8oyJFQXD,2B,BRUM72202346,no
197,Daqui pra Sempre,"Manu,Simone Mendes",64,160,"tecnobrega, brega, sertanejo, forró, piseiro, arrocha, seresta, sertanejo universitário, pagode",Daqui pra Sempre,2023-09-22,03:22,202,57,95,21,0,54,0,90,-3,G Minor,4,2026-07-21,35D06z7kmwMmYYbyJ0BkSm,6A,QZTPX2351515,no
198,Oi Balde - Ao Vivo,Zé Neto & Cristiano,72,108,"sertanejo, sertanejo universitário, agronejo, arrocha",Escolhas (Ao Vivo),2023-10-05,02:39,159,67,67,60,0,55,0,80,-6,D Major,4,2026-07-21,2XmPCfvLakXAbSj2qgxskV,10B,BRRGE2300213,no
199,Traumatizei (Ao Vivo Em Brasília),Henrique & Juliano,75,166,"sertanejo, sertanejo universitário, arrocha, agronejo",To Be (Ao Vivo Em Brasília),2023-07-28,02:52,172,48,91,13,0,58,0,40,-3,B Major,4,2026-07-21,5JO5wfblhyRi2S5G4mNv56,1B,BCVDD2200002,no
200,Será - Ao Vivo,Maiara & Maraisa,29,148,"sertanejo, sertanejo universitário, piseiro",Identidade (Ao Vivo),2023-03-23,02:48,168,55,87,54,0,63,0,90,-3,F Major,4,2026-07-21,4CDqMCAb0WuPhDjzRo1oqY,7B,BRWNV2200159,no
