#,Música,Artista,Popularidade,BPM,Gêneros,Álbum,Data do Álbum,Duração,Duração_segundos,Dançabilidade,Energia,Acústica,Instrumentalidade,Valência,Fala,Ao Vivo,Volume (Db),Tom,Compasso,Adicionado em,Spotify Track Id,Camelot,ISRC,Explícito
35,Private Landing (feat. Justin Bieber & Future),"Don Toliver,Justin Bieber,Future",59,137,"rap, trap",Love Sick (Deluxe),2023-02-28,03:58,238,86,64,11,0,45,10,10,-4,C♯/D♭ Minor,4,2026-07-17,2Ryzn1QqRKIKbAMNEXbLSB,12A,USAT22301679,yes
36,4EVA,"KAYTRAMINÉ,Aminé,KAYTRANADA,Pharrell Williams",63,112,"rap, hip-hop",KAYTRAMINÉ,2023-05-19,03:10,190,83,70,2,7,54,0,0,-9,F#/G♭ Minor,4,2026-07-17,2S4HEo4LCcIbU1AcEQ4RQZ,11A,QZLBC2306274,yes
37,Needle (feat. Drake),"Nicki Minaj,Drake",65,110,rap,Pink Friday 2,2023-12-08,03:55,235,81,59,27,0,35,10,10,-7,G Major,4,2026-07-17,4I4G0LD277PWvfblYtSf91,9B,USUM72318690,yes
38,fukumean,Gunna,81,130,"rap melódico, rap",a Gift & a Curse,2023-06-16,02:05,125,85,62,12,0,22,0,20,-7,C♯/D♭ Minor,4,2026-07-17,4rXLjWdF2ZZpXCVTfWcshS,12A,USAT22306575,yes
39,Sentry (feat. MIKE),"Earl Sweatshirt,The Alchemist,MIKE",48,58,"rap experimental, hip hop alternativo, jazz rap, boom bap, rap",VOIR DIRE,2023-10-06,02:16,136,36,52,80,0,48,10,10,-10,D Major,4,2026-07-17,48gtujiZ77wSZ29aWZe84V,10B,USWB12304655,yes
40,Paint The Town Red,Doja Cat,62,100,"rap, pop",Scarlet,2023-09-22,03:50,230,86,56,26,0,73,10,10,-8,D Minor,4,2026-07-17,7DlZH8EiVDgQXNoj3dnyZC,7A,USRC12300907,yes
41,Smoke Break-Dance - feat. JID,"Mick Jenkins,JID",51,120,"jazz rap, rap",The Patience,2023-08-18,02:55,175,89,66,9,0,82,0,0,-7,A Minor,3,2026-07-17,3EcqaLV76JnvSQOInAmdXv,8A,QMRSZ2300902,yes
42,KITCHEN LIGHTS,"Westside Gunn,Stove God Cooks",56,76,"boom bap, hip hop alternativo, jazz rap, rap experimental, rap",And Then You Pray For Me,2023-10-13,05:00,300,26,69,4,0,43,0,10,-4,G Minor,4,2026-07-17,4mlP10ICLhXt2QmUf0GkpB,6A,USUYG1483976,yes
43,Big Diamonds (feat. 21 Savage),"2 Chainz,Lil Wayne,21 Savage",43,176,"southern hip hop, rap, hip hop",Welcome 2 Collegrove,2023-11-17,03:19,199,74,77,2,0,44,20,10,-5,A#/B♭ Minor,4,2026-07-17,5FDc4ljIWyW8wClzt54dhs,3A,USUG12308360,yes
44,SAY MY GRACE (feat. Travis Scott),"Offset,Travis Scott",70,122,rap,SET IT OFF,2023-10-13,02:53,173,77,63,6,0,43,0,10,-5,A#/B♭ Major,4,2026-07-17,2Gk6fi0dqt91NKvlzGsmm7,6B,USUM72313167,yes
